schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time,avg_distance_meters,min_distance_meters,max_distance_meters
2004807,2671000,Balboa St,26th Ave  -  27th Ave,Monday,10,12,37,10.160360360360361,10.083333333333334,10.45,31.789659326852835,8.638864523242805,71.75526024998095
2004808,2671000,Balboa St,26th Ave  -  27th Ave,Tuesday,13,15,46,13.262318840579713,12.3,13.416666666666666,33.6933505950327,9.023047519237773,132.7343687283058
2004809,2672000,Balboa St,27th Ave  -  28th Ave,Monday,10,12,47,10.14609929078014,9.916666666666666,10.45,42.28250137800582,8.638864523242805,88.35083159623795
2004810,2672000,Balboa St,27th Ave  -  28th Ave,Tuesday,13,15,60,13.256944444444446,12.233333333333333,13.45,42.99485215841649,8.916983356558294,88.4136383836296
2004811,2673000,Balboa St,28th Ave  -  29th Ave,Monday,10,12,36,10.116666666666667,9.916666666666666,10.216666666666667,46.095087561099454,9.097815579246625,88.01174936371815
2004812,2673000,Balboa St,28th Ave  -  29th Ave,Tuesday,13,15,40,13.265,12.233333333333333,13.45,41.83081106345185,8.916983356558294,87.98594945630468
2004813,2674000,Balboa St,29th Ave  -  30th Ave,Monday,10,12,43,10.110852713178296,9.916666666666666,10.333333333333334,43.530989556784725,9.23819207838479,88.37776265234467
2004814,2674000,Balboa St,29th Ave  -  30th Ave,Tuesday,13,15,44,13.280681818181819,12.233333333333333,13.45,51.09198445139361,10.130476346580677,88.40767885066013
2004815,2675000,Balboa St,30th Ave  -  31st Ave,Monday,10,12,47,10.112411347517732,10.066666666666666,10.333333333333334,37.85408749071262,8.924798107235747,87.08630280521338
2004816,2675000,Balboa St,30th Ave  -  31st Ave,Tuesday,13,15,37,13.317567567567568,13.2,13.5,37.8725405620032,9.095947170923008,116.49645593399444
2004817,2676000,Balboa St,31st Ave  -  32nd Ave,Monday,10,12,52,9.378846153846155,7.116666666666666,10.333333333333334,47.75964179762847,8.924798107235747,88.30208795261885
2004818,2676000,Balboa St,31st Ave  -  32nd Ave,Tuesday,13,15,44,11.679924242424242,7.55,13.5,39.51595101986158,8.611715579611866,86.6535429803852
2004819,2677000,Balboa St,32nd Ave  -  33rd Ave,Monday,7,8,94,7.69840425531915,7.1,10.183333333333334,35.656776583088615,9.250023662163995,88.54267201992151
2004820,2677000,Balboa St,32nd Ave  -  33rd Ave,Tuesday,7,8,65,9.053846153846154,7.483333333333333,13.5,36.66222498293907,8.611715579611866,101.281302415284
2004821,2678000,Balboa St,33rd Ave  -  34th Ave,Monday,7,8,147,7.15170068027211,7.083333333333333,7.35,42.16759037153606,11.413987647132254,101.1662786387532
2004822,2678000,Balboa St,33rd Ave  -  34th Ave,Tuesday,7,8,81,7.711111111111111,7.483333333333333,12.233333333333333,48.40615547391423,8.92612485232371,104.47171822689234
2004823,2679000,Balboa St,34th Ave  -  35th Ave,Monday,7,8,147,7.15170068027211,7.083333333333333,7.35,68.34500920250807,9.076975600853228,183.0743699983415
2004824,2679000,Balboa St,34th Ave  -  35th Ave,Tuesday,7,8,81,7.711111111111111,7.483333333333333,12.233333333333333,88.21883792153643,8.884520492448324,183.106055054595
2004825,2680000,Balboa St,35th Ave  -  36th Ave,Monday,7,8,172,7.1434108527131785,7.066666666666666,7.316666666666666,71.57438229508854,8.803182863308223,178.58954720322782
